Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Animation, Family",en,2008-12-18,6.0,"last,;having;rat;noble",The Tale of Despereaux
Animation,ja,2018-03-03,7.0,Treasure;gets;finally;adventure,Doraemon: Nobita's Treasure Island
"Comedy, Romance",en,1997-02-07,6.8,European;mistakenly;City;children,The Beautician and the Beast
"TV Movie, Drama",en,2021-03-21,7.3,cruel;all-girl's;twin;start,V.C. Andrews' Pearl in the Mist
Science Fiction,en,2019-01-18,4.9,"dying;Earth,;searches;racing",IO
"Thriller, Action, Comedy, Science Fiction",en,2002-09-27,5.7,learns;really;inexperienced;Jimmy,The Tuxedo
"Thriller, Crime, Drama",en,2013-08-22,6.1,Two;either;side;1970s.,Blood Ties
"Comedy, Crime",en,1988-03-17,5.1,stolen;honored;Lassard;Commandant,Police Academy 5: Assignment Miami Beach
"Romance, Comedy",en,2004-05-28,5.2,caters;lawsuit;files;ridiculously,Soul Plane
"Thriller, Drama",en,2015-10-15,7.2,would;Soviet;James;Powers',Bridge of Spies
Horror,en,1988-12-23,6.3,"Doctor;doorway;years,;pain.",Hellbound: Hellraiser II
"Drama, History",en,2015-10-16,7.3,Based;forced;movement;were,Suffragette
Comedy,en,2019-10-10,6.9,phone;your;happen;you,Jexi
"Crime, Drama, Thriller",en,1997-02-27,7.5,regular;An;infilitrates;one.,Donnie Brasco
"Action, Science Fiction",en,2017-01-27,6.0,smart;teenage;embedded;coma,iBoy
"Mystery, Drama, Crime, Thriller",en,2013-08-28,5.9,remain;dies;conspiracy;Martin,Closed Circuit
"Horror, Mystery, Thriller",en,1982-09-30,6.6,horrific?;something;skeptical;cannot,The Entity
"History, War, Drama",nl,2021-10-07,6.5,Amsterdam;Hannah;reunion;concentration,My Best Friend Anne Frank
"Family, Comedy",en,1993-04-07,7.5,"gang,;confronting;part;During",The Sandlot
"Comedy, Romance",en,2006-12-08,7.1,States;may;end;return,The Holiday
"Adventure, Animation, Comedy, Family, Fantasy",en,2007-01-05,4.9,turn;alliance;leader;looks,Happily N'Ever After
"Drama, History",en,1987-05-27,7.6,"brief;Republic.;abdication,;lofty",The Last Emperor
"Adventure, Science Fiction",en,2017-06-02,3.5,"invisible;Ava;looks;identity,",Stasis
"Animation, Comedy, Family, Fantasy",en,2014-09-10,6.7,raised;Snatcher.;called;Boxtrolls,The Boxtrolls
"Drama, Adventure, Thriller",en,1972-08-18,7.3,turned;river-rafting;River;American,Deliverance
"Action, Adventure, Crime, Science Fiction, Thriller",en,1993-04-17,4.7,replace;Products;bent;OCP,RoboCop 3
"Comedy, Romance, Drama",en,2008-04-17,6.5,comes;Aldous;meeting;see,Forgetting Sarah Marshall
"War, Action, Drama",zh,2017-07-27,6.7,"sea.;forces;civilians,;begin",Wolf Warrior 2
"Action, Comedy",en,2018-03-23,5.5,financed;taken;terrorists.;video,"Game Over, Man!"
Horror,en,2008-04-08,5.2,flesh;town;survivors;effort,Day of the Dead
"Drama, Action, Thriller, Science Fiction",en,2006-09-19,7.6,"chaotic;procreate,;child's;activist",Children of Men
"Horror, Thriller",en,2017-09-29,6.4,secrets;dire;goes;lake,Gerald's Game
"Crime, Drama, Thriller",en,2011-03-17,7.2,car;Beverly;business;high-profile,The Lincoln Lawyer
"Crime, Drama, History, Thriller",en,1987-06-03,7.8,it's;if;Elliot;goes,The Untouchables
"Thriller, Crime, Drama, Horror",en,2007-07-19,6.7,"sons,;mentally;forever.;town",The Girl Next Door
"Drama, History, War",de,1979-05-02,7.0,birthday.;born;Repulsed;irresponsibility,The Tin Drum
"Action, Science Fiction",ja,2015-10-03,7.6,mission;arises;humanity.;remaining,Arpeggio of Blue Steel -Ars Nova Cadenza-
"Action, Animation, Science Fiction",en,2017-08-21,5.9,"next;Mars,;recruits;target",Starship Troopers: Traitor of Mars
Comedy,en,2001-12-21,6.3,dry.;start;regular;entrance,How High
"Fantasy, Comedy, Romance, Science Fiction",en,1996-06-26,5.6,"Carla;brilliant,;,;whittle",The Nutty Professor
"Crime, Thriller, Mystery",en,2020-12-11,6.8,opens;drought-stricken;hometown;decades-old,The Dry
"Drama, History",en,2010-11-26,7.7,throne.;named;therapist;Through,The King's Speech
"Adventure, Family, TV Movie",en,1985-11-24,5.3,"Ewoks;family.;Noa,;man,",Ewoks: The Battle for Endor
Comedy,es,2018-12-25,7.9,paid.;that's;expenses;happiness.,El Paseo 5: El Paseo de Oficina
Comedy,en,2016-02-06,4.8,again;Hansel;Derek;business.,Zoolander 2
"Comedy, Drama, Romance",en,2018-09-07,6.4,romance;identity;case;popular,Sierra Burgess Is a Loser
"Action, Science Fiction, Thriller",en,2000-08-04,5.9,he's;eventually;visible;predicament,Hollow Man
"Comedy, Romance, Drama",de,2021-10-15,5.7,"remote;turn,;truths.;purge",The Four of Us
"Action, Animation, Adventure, Fantasy",ja,2002-12-22,7.6,"Kagome,;princess;hatches;Inuyasha,",Inuyasha the Movie 2: The Castle Beyond the Looking Glass
"Action, Adventure, Fantasy",en,1988-05-20,7.0,"entrusted;Danan,;royal;hunts",Willow
Science Fiction,en,2021-08-26,5.7,catastrophe;fate;seal;Kepler,The Colony
"Drama, Crime, Thriller",en,2017-06-16,7.5,single;mother;Her;11-year-old,The Book of Henry
"Comedy, Romance",en,1997-12-19,7.4,"turned;bigoted,;down;City.",As Good as It Gets
"Comedy, Romance, Drama",en,2001-10-05,6.8,"part;chance,;another;Jonathan",Serendipity
"Animation, Drama, Romance",ja,1991-07-20,7.3,"arc;if;It’s;past,",Only Yesterday
"Documentary, Action, Crime",es,2021-10-28,7.3,Mexican;This;line;officers.,A Cop Movie
"Drama, Crime, Thriller",fr,2018-12-19,6.4,disguise;decision;legendary;paths,The Emperor of Paris
Drama,en,2011-09-22,7.2,players.;manager;Beane's;baseball,Moneyball
"Action, Drama, Thriller, Crime",en,2015-03-11,6.4,just;lie;Brooklyn;ago.,Run All Night
"Horror, Thriller, Mystery",en,2022-03-17,0.0,"Texas.;interest;hosts;reclusive,",X
"Thriller, Drama",en,2016-05-12,6.4,Financial;producer;Lee;put,Money Monster
Documentary,en,2013-09-13,7.9,Taking;seven-hour;definitive;all-new,Crystal Lake Memories: The Complete History of Friday the 13th
"Music, Comedy",es,2021-05-01,4.0,"Pletina;singular,;Misfortune;includes",Stop
Family,en,2017-05-05,7.2,"accompany;White;her,;state",Max 2: White House Hero
"Adventure, Action, Thriller",en,1983-10-07,6.0,"blackmail.;warheads;Largo,;battle",Never Say Never Again
"Comedy, Romance",en,1984-05-04,6.8,school's;high;birthday;deals,Sixteen Candles
Comedy,en,2014-06-03,5.9,"Keener;effects,;Bad;plus",Jackass Presents: Bad Grandpa .5
"Animation, Science Fiction, Drama",ja,2010-03-06,7.3,"upon,;humans;independently;Nagi,",Time of EVE: The Movie
"Fantasy, Animation",en,2012-02-12,7.9,decide;boyfriend;faced;birthday,Monster High: Why Do Ghouls Fall in Love?
Comedy,en,1981-11-13,6.4,"1954,;sheriff;virginity;high",Porky's
"War, Drama",en,2017-06-02,6.9,determine;Jewish;spy;planted,The Exception
"Comedy, Drama, Crime, Thriller",th,2017-05-03,8.0,grades;bigger;brilliant;exam-cheating,Bad Genius
"Family, Animation, Adventure",en,1995-12-22,7.3,risks;deadly;Alaska.;epidemic,Balto
"Fantasy, Action, Adventure",en,1996-05-31,6.6,"named;If;heart;Earth,",DragonHeart
"Animation, Comedy, Family",en,2021-04-16,6.8,"alligator,;adventure.;Upon;learning",Arlo the Alligator Boy
"Action, Drama",en,2016-07-14,5.0,travels;fight;fails;Tong,Kickboxer: Vengeance
"Romance, Drama",es,2012-05-04,6.5,Struggling;relationships;opening;begin,Angels of Sex
"Drama, Romance, War",en,2010-02-04,6.9,dives;John;While;until,Dear John
Comedy,en,2009-06-02,5.4,"dismay,;It;dysfunction.;Van",Van Wilder: Freshman Year
"Action, Drama, Romance",en,1999-09-25,6.1,injustice;men;ladies;violent,Inferno
"Science Fiction, Action",en,1981-05-23,7.1,"Snake;security;down;air,",Escape from New York
"Action, Comedy",fr,1998-04-08,6.6,boy;loser;Daniel;police,Taxi
"Family, Animation",en,2016-02-12,7.7,scaretastic;come;ghoulfriends;fights,Monster High: Great Scarrier Reef
"Drama, Romance",ja,2014-07-12,7.0,"likes;Kurosawa;Yamato;day,",Say 'I Love You'
"Action, Adventure, Fantasy",zh,2016-01-22,5.8,accidentally;Monkey;500;Priest,The Monkey King 2
"Comedy, Romance, Drama",en,1989-01-12,7.4,answer.;friendship;Eleven;finding,When Harry Met Sally...
Documentary,lv,2022-03-09,0.0,lost;task;change;person,My Mother the State
"Science Fiction, Adventure, Mystery",en,1979-12-07,6.5,it.;Admiral;Kirk;Starship,Star Trek: The Motion Picture
"Action, Adventure, Fantasy, War",en,2007-04-19,5.6,embarks;Augustus;Britain;legion,The Last Legion
Drama,fr,2004-05-19,4.5,amoral;introduced;novel:;Bataille's,Ma mère
"Drama, Thriller",en,1993-05-21,5.4,fell;apartment;balcony.;ended,Sliver
"Action, Comedy, Crime",en,2018-08-22,5.7,"LAPD;Philips,;case;begin",The Happytime Murders
"Crime, Action, Comedy",cn,1997-01-31,6.5,video;awry;involved;gangs,Mr. Nice Guy
"Drama, Thriller, Crime",en,2002-02-15,7.2,enlarged;full;husband;receive,John Q
"Action, Adventure, Science Fiction, Thriller",en,2015-02-24,7.1,Ranger.;truce;fates;Ranger,Power/Rangers
"Fantasy, Adventure, Mystery, Animation",ja,2015-05-16,8.5,enigmatic;later;realises;sound,Mushi-Shi: The Next Chapter - Drops of Bells
"Animation, Family, Comedy",en,2001-11-06,7.0,"friends,;break;Belle,;hot",Mickey's Magical Christmas: Snowed in at the House of Mouse
"Family, Animation, Adventure",en,2014-08-02,6.4,threat;member;search;alliance,SlugTerra: Return of the Elementals
"Romance, Comedy",en,2019-05-03,6.0,college.;summer;during;final,The Last Summer
Horror,en,2006-02-03,5.7,home;luxurious;terror.;children,When a Stranger Calls
Documentary,fr,2022-03-08,0.0,Switzerland.;documentary;racism;women,Becoming A Black Woman
Comedy,en,2005-10-07,6.3,"want;want;these;Luckily,",Waiting...
"Action, Adventure, Thriller",en,1992-11-06,5.9,plane;stand;Things;An,Passenger 57
Horror,en,2021-04-29,5.8,art;job;Even;does,Things Heard & Seen
"Adventure, Fantasy, Animation, Action, Science Fiction",ja,2011-07-02,7.0,literally;rebellion;thick;attempt,Fullmetal Alchemist the Movie: The Sacred Star of Milos
"Fantasy, Romance, Horror",en,2016-11-11,6.3,men;uses;consequences.;magic,The Love Witch
"Drama, Comedy, Western",en,2015-10-29,7.0,"fashion;transforming;Australia,;wrongs",The Dressmaker
"Action, Adventure",zh,2019-12-12,6.6,survive.;dives;Zheng;underwater,Skyfire
"Animation, Action",ja,2006-03-11,6.7,primarily;side;brother;Kenshiro,Fist of the North Star: Legend of Raoh - Chapter of Death in Love
"Action, Crime, Thriller",en,1990-09-14,6.2,"Louis;tied;least,;skills,",Death Warrant
Thriller,en,2016-04-29,5.9,"days,;Nick;he'll;himself,",Term Life
"Action, Thriller, Crime",en,2005-03-10,6.3,"accountant;even;standoff,;beat,",Hostage
Action,cn,1996-11-07,6.1,team;701;many;Mask,Black Mask
"Drama, History",en,1982-11-30,7.5,armed;without;worldly;British-trained,Gandhi
Documentary,en,2022-03-08,0.0,becoming;changes;female;intimate,We Are Like Waves
"Science Fiction, Adventure, Action, Comedy",en,2019-05-24,6.0,world.;Stranded;mission;summer,Rim of the World
"Family, Fantasy, Animation, Comedy, Adventure",en,2017-06-16,6.5,"escape.;dance;wild;storybook,",Puss in Book: Trapped in an Epic Tale
"Comedy, Family, Fantasy",en,1968-12-22,6.5,Herbie's;sneaky;VW;realizing,The Love Bug
"Romance, Comedy, Drama",en,1999-05-21,7.2,appears;struggle;spilled;American,Notting Hill
"Fantasy, Animation",zh,2014-05-20,7.7,unite;road;uneasy;secret,Dragon Nest: Warriors' Dawn
"Action, Thriller, Science Fiction",en,2006-11-22,6.8,Carlin;device;evidence;lab,Déjà Vu
"Thriller, Horror",en,1983-03-16,4.4,capture;This;shark;Park.,Jaws 3-D
"Animation, Adventure, Fantasy",ja,1991-03-09,7.1,"Doraemon;different;""Storybook;Nobita",Doraemon: Nobita's Dorabian Nights
"Thriller, Action, Drama",en,2007-08-22,6.7,American;government;sent;Middle,The Kingdom
"Horror, Mystery, Crime, Thriller",en,2009-01-30,6.6,decade-long;reveal;dismemberment;disturbing,The Poughkeepsie Tapes
Romance,ko,2018-06-07,0.0,"Yoo-ri.;Min-goo;still;day,",Nice Sister-In-Law 3
"Family, Drama",en,1985-12-01,8.1,trial;sister;Anne;turn,Anne of Green Gables
"Comedy, Action",cn,1992-01-15,6.6,New;York;gangster;separated,Twin Dragons
"Comedy, Adventure",en,2008-04-25,6.2,Netherlands.;satisfied;sequel;Kumar,Harold & Kumar Escape from Guantanamo Bay
Horror,en,2011-09-24,5.0,"Internet,;branded;""x"";cat",Julia X
"Drama, Thriller, History",en,1991-12-20,7.6,John;district;Orleans;Kennedy,JFK
Thriller,en,2018-04-13,5.3,Cathy.;–;locks;past.,10x10
"Drama, History, War",en,1977-06-15,7.2,Allies;strategically;important;hope,A Bridge Too Far
"Action, Comedy, Western, Crime",en,2006-01-18,6.0,quest;away;few;vengeance…and,Bandidas
Comedy,en,2020-01-09,6.4,together.;very;start;decide,Like a Boss
"Science Fiction, Drama",en,1977-11-18,7.4,feels;isolated;drawn;area,Close Encounters of the Third Kind
"Comedy, Drama",en,2021-12-03,6.8,meets;wife;Just;estranged,Red Rocket
"Comedy, Romance",en,2016-09-14,6.4,named;could;turn;after',Bridget Jones's Baby
"Comedy, Horror",en,2013-01-20,5.4,home;ghosts;haunted.;roommates,Ghost Team One
Animation,en,2015-01-29,6.3,jealous;Dark;great;Sparkle,Barbie in Princess Power
"Drama, History",en,2018-09-21,7.0,bestseller;intellectual;adventures;cultural,Colette
"Action, Fantasy, Adventure",ja,2018-07-20,6.6,High;God;peaceful;see,Bleach
"Drama, War",en,2016-11-10,6.0,America's;flashbacks;19-year-old;Through,Billy Lynn's Long Halftime Walk
Comedy,fr,2012-03-07,6.1,younger;wants;chef;its,Le Chef
"Romance, Action, Comedy, Crime",cn,1984-08-17,7.0,"friend;Moby,;bumbling;Sylvia,",Wheels on Meals
"Comedy, Family, Romance, Fantasy",en,2001-06-22,5.3,bear;can't;Dr.;too.,Dr. Dolittle 2
"Adventure, Action, Drama",en,2010-02-15,6.2,"raid;Virilus';General;Britain,",Centurion
"Action, Drama, History",ja,1962-09-15,8.4,courtyard;rather;promises;Iyi,Harakiri
"Science Fiction, Drama, Thriller",en,2021-06-24,5.9,lives;unplanned;mission;board.,Stowaway
"Adventure, Fantasy, Action, Science Fiction",en,1984-07-01,5.5,"orb,;powerful;Superman's;retrieve",Supergirl
"Action, Science Fiction, Mystery",ja,2011-04-22,7.3,perspective;Delving;offers;puzzle,Another Gantz
"Family, Adventure, Animation, Fantasy",ja,2004-07-22,6.5,comet;currently;bearing;nearby,Pokémon: Destiny Deoxys
"Action, Adventure, Drama, Mystery",zh,2010-09-18,6.6,Imperial;Sammo;recruited;together,Detective Dee and the Mystery of the Phantom Flame
"Thriller, TV Movie",en,2016-01-03,6.8,Boarding;Zoe;Catholic;senses,Bad Sister
"Horror, Thriller",en,2013-09-28,5.3,"punishes;secret;sinister;side,",Nurse 3-D
"Science Fiction, Action, Adventure, Thriller",en,2002-12-13,6.3,United;Jean-Luc;startling;relationship,Star Trek: Nemesis
"Crime, Action, Drama",ko,2018-12-19,6.2,"1970s.;leader;Lee;ambition,",The Drug King
Drama,en,2004-12-01,6.8,each;other.;begin;affairs,Closer
"Adventure, Comedy, Family, Science Fiction",en,1993-05-28,4.2,Mario;dinosaurs;invasion;alternate,Super Mario Bros.
Action,en,1982-02-20,6.2,Kersey;Paul;again;trying,Death Wish II
"Thriller, Drama, Mystery",en,2007-02-08,6.3,"home,;accident;killed;depressed",Premonition
Comedy,fr,2014-04-16,6.7,daughters;French;sees;down,Serial (Bad) Weddings
"Action, Adventure, Comedy, Thriller",en,2002-10-31,5.4,world's;cocky;Champion;catch,I Spy
"Action, Thriller",en,2019-09-24,6.7,teams;agent;Federal;10-hour,Inside Man: Most Wanted
"Comedy, Romance",en,2019-11-21,6.5,knight;medieval;school;teacher.,The Knight Before Christmas
"Drama, Fantasy",en,2011-05-17,6.7,1950s.;film;innocence;journey,The Tree of Life
"Action, Animation, Adventure, Comedy, Fantasy",ja,2014-12-31,7.4,pirate;training;hostage;off,"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends"
Comedy,en,2004-02-17,5.6,"close;forever.;Ella,;scalpers.",Confessions of a Teenage Drama Queen
"Action, Comedy, Thriller",en,2008-06-19,6.2,"compromised,;Maxwell;whose;work",Get Smart
"Drama, History, Thriller",en,2018-08-29,6.7,"team;Israel;Adolf;Holocaust,",Operation Finale
"Crime, Thriller",en,1958-03-30,7.8,jeopardy.;agent;Vargas;Miguel,Touch of Evil
"Animation, Comedy, Family, Fantasy, Music",en,2013-06-16,7.3,learn;Sparkle;Upon;Twilight,My Little Pony: Equestria Girls
"Drama, Thriller",en,2015-10-16,8.1,boy;gain;captive;outside,Room
"Animation, Family, Adventure, Comedy",en,2018-03-09,6.2,wide-eyed;grounded;face-to-face;beauty,Duck Duck Goose
"Comedy, Drama, Mystery",en,2016-02-05,5.9,studio;disappears;star;sends,"Hail, Caesar!"
"Action, Thriller, Mystery",en,2014-02-26,6.8,"passenger;duty,;assignment;transatlantic",Non-Stop
Animation,ja,1988-06-01,6.7,"Suno;featuring;officer,;getting",Dragon Ball: Goku's Traffic Safety
Drama,en,2005-10-12,7.6,"Munro,;New;Salt;Bonneville",The World's Fastest Indian
Action,en,1985-08-30,5.9,base;attacked;choice;American,American Ninja
"Drama, Crime, Horror, Thriller",ja,2019-10-11,6.6,would-be;con;grief-scarred;crew,The Forest of Love
"Thriller, Horror",en,2016-09-15,5.2,trip;discover;something;lurking,Blair Witch
"Animation, Science Fiction",ja,2001-05-26,7.1,Kenichi;Dr.;larger;themselves,Metropolis
"Family, Animation, Adventure",en,1988-11-18,7.1,land;An;encounter;other,The Land Before Time
"History, Drama, Music",en,2021-09-17,6.6,"rose;love,;acceptance,;revered",The Eyes of Tammy Faye
"Drama, Comedy",en,2020-03-20,6.6,unlikely;true;force;drive,Hooking Up
Drama,en,2008-12-18,7.6,secret;extraordinary;seven;forever,Seven Pounds
"Horror, Fantasy, Comedy",te,2021-02-05,4.8,people;experiment;Dhruva;comes,G-Zombie
"Drama, Action, Crime",pt,2010-10-08,7.8,transferred;de;accused;bloody,Elite Squad: The Enemy Within
"Animation, Action, Science Fiction, Family, Adventure",en,2000-06-16,6.6,hope;holds;called;destruction.,Titan A.E.
"Animation, Comedy, Family, Adventure",en,2014-01-17,5.7,winter;park;independent;able,The Nut Job
Documentary,fr,2022-03-09,0.0,nine;boy;dinner;defend,That Which Does Not Kill
"Drama, Music",en,2010-10-10,5.4,"step;University.;school,;during",Stomp the Yard 2: Homecoming
"Horror, Thriller",en,1998-08-05,6.0,"good;whereabouts.;community,;former",Halloween H20: 20 Years Later
"Crime, Romance",en,1990-10-12,6.3,"rob;town,;local;bank.",The Hot Spot
"Western, Action, Thriller",en,1995-02-09,6.5,"compete;tournament,;taken;gunman.",The Quick and the Dead
"Action, Comedy, Thriller, Crime, Science Fiction",en,2008-12-25,4.7,anyone;forces;hero;come.,The Spirit
Horror,en,1992-01-29,4.7,"revealed;news-reporter;stop;Nebraska,",Children of the Corn II: The Final Sacrifice
"Horror, Action, Thriller, Science Fiction",en,2011-12-22,5.3,via;alien;five;lead,The Darkest Hour
"Comedy, Romance",pl,2021-02-11,6.1,falls;journalist;rethink;leads,Squared Love
Drama,en,1995-08-11,6.9,throw;students;cost.;Louanne,Dangerous Minds
"Animation, Adventure, Fantasy, Family",en,2010-08-22,5.8,"With;regain;hot;Darkos,",Arthur 3: The War of the Two Worlds
"Animation, Family, Comedy",en,2017-01-17,6.3,"H,;Hang;(voiced;Lani",Surf's Up 2: WaveMania
"Family, Adventure, Animation, Comedy, Mystery",en,2013-08-20,7.8,high;crew;show;horrors,Scooby-Doo! Stage Fright
"Drama, Mystery, Crime",es,2018-04-19,6.3,search;childhood;Patagonia;starts,Perdida
"Animation, Fantasy, Action, Adventure",zh,2021-07-23,8.7,"While;sister;dystopian;clutches,",Green Snake
"Comedy, Romance, Science Fiction",en,2020-07-10,7.3,"venue,;carefree;or;escape",Palm Springs
"Drama, History",en,2016-11-25,6.7,fierce;defied;nation;every,A United Kingdom
Thriller,en,2020-04-30,6.4,lives.;patriarch;inheritance;unravel,Inheritance
"Action, Thriller",en,1995-07-13,5.7,hijacked;SEAL;planned;blow,Under Siege 2: Dark Territory
Drama,en,2005-09-29,6.7,events;trying;section;dream.,Goal!
"Action, Adventure, Comedy, Family",en,2003-03-14,5.4,closer;Cody;plan;hatched,Agent Cody Banks
"Science Fiction, Animation, Action, Adventure",en,2011-02-22,7.0,little;Son;times;face,All Star Superman
"Drama, Crime, Documentary",en,2018-06-01,6.8,States.;attempt;execute;men,American Animals
Western,en,1968-07-31,6.8,men;starts;Marshall;vowing,Hang 'em High
"Adventure, Animation, Music, Fantasy, Comedy",en,2016-10-01,7.4,With;abilities;camp.;magical,My Little Pony: Equestria Girls - Legend of Everfree
"Adventure, Comedy, Family, Romance",en,1997-07-15,5.6,"jungle,;klutz;Of;full",George of the Jungle
"Thriller, Science Fiction, Mystery",en,2022-03-11,0.0,forced;girlfriend;forces;he’s,Outsiders
Drama,ar,2018-09-20,8.2,boy;such;sues;rights,Capernaum
"Family, Animation, Comedy, Adventure",en,2015-02-05,7.0,City;bargained;off;little,Shaun the Sheep Movie
"Action, Adventure, Comedy, Fantasy",en,1986-05-30,7.2,agreed;Burton;immortal;battle,Big Trouble in Little China
Comedy,en,2009-01-20,3.8,graduation.;last;lose;series,18 Year Old Virgin
Animation,ja,1997-03-08,7.0,"decided;Nobita's;gadget,;came",Doraemon: Nobita and the Spiral City
"Comedy, Fantasy, Romance",en,1984-03-09,6.3,sinker;though;;falls;dreams.,Splash
"Action, Adventure, Fantasy, Science Fiction",en,2008-07-19,4.6,tribulations;ancient;evil;during,The Scorpion King 2: Rise of a Warrior
Comedy,en,2013-03-01,5.8,important;derail;evolves;student,21 & Over
"Drama, Romance",en,2011-06-17,6.6,"George,;kindred;complicated;recognizes",The Art of Getting By
"Comedy, Drama, Romance",en,1993-06-24,6.7,"boy;Sam;catches;date,",Sleepless in Seattle
"Family, Animation, Comedy, Adventure",fr,1976-06-26,7.4,laughter;Gods.;twelve;prove,The Twelve Tasks of Asterix
"Adventure, Comedy, Family, Fantasy, Science Fiction",en,2009-07-31,5.6,aliens.;kids;invading;vacation,Aliens in the Attic
"War, Action, Drama, History",ko,2014-07-30,7.1,southwest;Korean;managed;victories,The Admiral: Roaring Currents
"Action, Science Fiction",en,1999-08-05,5.5,All;soldiers;pits;good,Universal Soldier: The Return
"Science Fiction, Action",en,1998-10-23,6.3,survivors;existence.;land;waste,Soldier
"Animation, Family, TV Movie, Comedy, Fantasy",en,2010-11-26,6.9,"Ping.;Po's;Feast;together,",Kung Fu Panda Holiday
"Comedy, Romance, Drama",en,2018-02-16,7.0,since;death;do;known,Irreplaceable You
Thriller,en,2013-09-13,4.0,"gritty,;international;four;together",Final: The Rapture
"Horror, Thriller",en,2017-01-12,5.2,"move;once;other,;students",The Bye Bye Man
"Comedy, Romance",en,2018-08-24,6.8,other;Nikki;each;Former,Little Italy
Horror,en,2002-11-26,4.3,fierce;mercilessly;stop;Mexican,Shark Attack 3: Megalodon
"Adventure, Comedy, Crime",en,2000-08-30,7.3,comical;pursues;them.;many,"O Brother, Where Art Thou?"
"Science Fiction, Horror, Thriller",en,2020-06-12,6.4,trawler—marooned;Ireland;West;growing,Sea Fever
"History, Thriller, War",en,2016-08-12,7.1,"Reinhard;1941,;Jan;Czech",Anthropoid
"Family, Animation, Adventure, Comedy, War",en,2005-03-25,5.5,"1944,;Valiant;find-the;him,",Valiant
"Drama, Thriller",de,2008-03-11,7.5,national;masses;His;how,The Wave
"Action, Adventure, Animation, Family, Comedy",en,2015-02-10,6.7,Superman’s;it’s;Bizarro;And,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League
"Mystery, Horror, Thriller",en,2006-09-25,5.7,"England,;happenings;girls;isolated",The Woods
Drama,en,2012-09-07,7.2,"heavy-drinking;charismatic;Freddie,;forms",The Master
"Drama, Romance, War",en,1965-12-22,7.6,"another,;activist's;physician;falls",Doctor Zhivago
"Comedy, Horror",en,2015-03-20,5.4,"fully;coma-induced;Ranch,;hobo",The Walking Deceased
"Horror, Thriller",en,2013-02-28,4.7,"force;horrific;movie,;tries",The Last Exorcism Part II
Comedy,en,1988-12-08,6.0,Vincent;low;orphanage;allow,Twins
Thriller,en,2022-01-14,6.4,lives;moves;shell;high-tech,Shattered
"Thriller, Horror, Science Fiction",en,1995-04-28,6.0,some;American;doesn't;look,Village of the Damned
"Drama, Thriller, History",en,2006-12-11,6.3,Society;witness;newly;student,The Good Shepherd
"Family, Mystery, Animation, Comedy",en,2011-09-06,7.9,"doesn’t;protect;secret;Phantosaur,",Scooby-Doo! Legend of the Phantosaur
Action,en,2017-08-04,5.3,confront;forces;birth;taken,Savage Dog
"Comedy, Horror",en,2016-10-21,5.7,"spends;keeping;ghosts,;fending",Boo! A Madea Halloween
"Action, Crime, Drama, Thriller",en,2009-04-02,6.7,And;fugitive;Toretto;Dom,Fast & Furious
"Animation, Science Fiction",ja,2018-05-18,6.5,King;Earth;battle;nearly,Godzilla: City on the Edge of Battle
"Thriller, Mystery, Drama, Horror",en,2018-08-10,6.8,closer;gathering;summer;officer,Summer of 84
"Drama, Comedy, Family",en,2011-12-08,6.7,"and,;keeper;son;daughter,",We Bought a Zoo
"Comedy, History",en,1993-10-01,7.0,"start;Games,;Jamaican;Olympic",Cool Runnings
"Fantasy, Horror, Thriller, Science Fiction",en,1997-08-22,6.0,kill;gruesome;carried;evolved,Mimic
"Adventure, Comedy, Family, Science Fiction",en,1992-07-16,5.2,son;starts;zapped;Adam,"Honey, I Blew Up the Kid"
"Animation, Adventure, Family, Comedy",fr,2019-01-30,7.0,"small;Alas,;reserves;snow",Minuscule 2: Mandibles from Far Away
"Drama, Thriller",en,1996-09-13,7.1,couple;apartment;working;renovation,Bound
"Action, Adventure, Comedy, Crime, Drama, Thriller",cn,1996-02-10,6.4,dealer.;later;weapons;Interpol,First Strike
"Thriller, Science Fiction",en,2013-09-19,7.3,experience;party;dinner;events.,Coherence
"Animation, Romance, Action, Fantasy",ja,1993-12-05,7.9,"Flower;flower,;come;Sailor",Sailor Moon R: The Movie
"Adventure, Drama, History",en,1997-09-12,7.2,outlook;breaks;Himalayas;Harrer,Seven Years in Tibet
"Drama, History",en,2017-05-25,6.1,Winston;thriller;24;hours,Churchill
Documentary,en,2021-02-05,7.1,sexual;also;issues;artistry,"Strip Down, Rise Up"
"Animation, Family, Comedy",en,1966-12-18,7.5,"celebrating;reindeer,;raid;village",How the Grinch Stole Christmas!
"Romance, Drama",en,2021-03-12,6.8,gallery;mystery;enter;seductive,Trust
"Action, Comedy, Crime, Romance, Thriller",en,2013-03-13,5.3,"cottage;slacker;proposal,;happily",Cottage Country
"Drama, Thriller, Mystery, Horror",en,2017-10-27,7.2,sinister;presence;three;plagued,Marrowbone
"Action, Comedy",cn,1992-04-16,7.2,drive;even;Yat;cult,Once Upon a Time in China II
"Animation, Family, Comedy",en,2012-01-31,6.8,Furious;helped;create;inadvertently,Kung Fu Panda: Secrets of the Scroll
"History, Drama",en,2021-05-28,5.8,"troops;treason;United;lawyer,",American Traitor: The Trial of Axis Sally
