Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Action, Adventure, Fantasy, Science Fiction",en,2020-05-05,8.4,"–;League;League,;Heroes.",Justice League Dark: Apokolips War
"Thriller, Horror, Crime",en,2013-08-25,6.3,innocent;tap;exact;buried,I Spit on Your Grave 2
Comedy,en,2009-09-12,4.1,"surgeons.;doctors,;lifestyle;best",Hole in One
"Family, Fantasy, Adventure, Comedy",en,2020-10-14,6.2,schooler;battles;monsters;Halloween.,A Babysitter's Guide to Monster Hunting
"Horror, Thriller",en,2013-09-12,6.7,Lambert;secret;uncover;seeks,Insidious: Chapter 2
"War, Action, Drama",no,2012-03-09,6.9,"blossoms.;surviving;shot;1940,",Into the White
"Action, Animation, Adventure, Fantasy, Music",en,2022-04-13,0.0,heroes;Cat;Noir.;Agreste,Ladybug & Cat Noir: Awakening
"Adventure, Fantasy, Science Fiction, Family, Action",en,2020-06-12,5.7,may;father's;line;descendant,Artemis Fowl
"Adventure, Action, Comedy, Thriller, Crime",en,2003-07-18,6.6,"Task;Mike;Marcus;reunite,",Bad Boys II
"Horror, Thriller",en,2017-10-23,5.8,"introduces;wonder;Guy"";if",Cult of Chucky
Comedy,en,2011-08-05,6.1,prime;Dave;fountain;One,The Change-Up
"Crime, Drama, Thriller",en,1990-12-25,7.4,taking;1979;legitimize;wing.,The Godfather: Part III
"Adventure, Drama, Action",en,2012-11-20,7.4,"Indian;sets;Pi,;tiger",Life of Pi
"Adventure, Fantasy, Drama, Action",en,2011-11-03,3.9,"Forces;leader;band;Ones"".",In the Name of the King 2: Two Worlds
"Drama, War",en,1987-06-26,8.1,boot;camp;brutal;Hue.,Full Metal Jacket
"Science Fiction, Action, Animation",en,2016-05-13,7.4,then;Batman;possesses;world.,Justice League vs. Teen Titans
Documentary,en,2021-04-23,6.7,"heart,;you;how;world.",Street Gang: How We Got to Sesame Street
Drama,en,2006-09-29,7.5,football;faces;giants;results.,Facing the Giants
"Comedy, Family, Animation",en,2017-10-05,6.7,tear;war;city;flip.,Woody Woodpecker
"Comedy, War, Drama",en,2019-10-18,8.1,view;turned;Adolf;boy,Jojo Rabbit
"Horror, Science Fiction, Thriller",en,2020-10-06,6.5,"experimental;really;single;accident,",Black Box
"Comedy, Family, Fantasy",en,2010-01-14,5.5,inspired;Derek;hockey;Thompson,Tooth Fairy
"Adventure, Animation, Comedy, Family",en,2016-06-16,7.0,Nemo;speak;reunited;past.,Finding Dory
"Adventure, Animation, Comedy, Family",en,2015-12-17,6.0,"days;proposal.;Through;misunderstandings,",Alvin and the Chipmunks: The Road Chip
"Animation, Comedy, Family",en,2021-02-04,6.9,"adorable,;former;grouchy;annual",Daisy Quokka: World’s Scariest Animal
"Adventure, Animation, Drama, Family",en,1981-07-10,7.1,Life;hunting;--;full,The Fox and the Hound
"Animation, Action, Fantasy",ja,2021-10-12,6.0,"carries;bring;Izo,;elf",Bright: Samurai Soul
"Family, Adventure, Comedy, Science Fiction, Crime",en,1966-07-30,6.3,Dynamic;hold;faces;secret,Batman
"Adventure, Action, Fantasy",en,2008-07-01,5.4,pursue;who's;wife;quash,The Mummy: Tomb of the Dragon Emperor
Horror,en,2007-03-16,6.4,"Destined;Shaw.;Billy,;dummy",Dead Silence
"Family, Comedy",en,2021-11-24,6.5,Chicago;embarks;ten-year-old;herculean,8-Bit Christmas
"Animation, Adventure, Comedy, Family, Science Fiction, Action",en,2021-04-22,8.0,"humanity's;dysfunctional;last;quirky,",The Mitchells vs. the Machines
Fantasy,en,2015-02-24,5.4,reign;Gareth;intricately;evil,Dragonheart 3: The Sorcerer's Curse
Drama,en,2006-12-14,7.9,son;life-changing;struggling;salesman,The Pursuit of Happyness
"Action, Adventure",en,2015-07-23,7.2,"Syndicate',;destroying;'The;team",Mission: Impossible - Rogue Nation
Horror,en,1984-11-09,7.3,"molester;Glen,;like;Nancy",A Nightmare on Elm Street
"Action, Adventure, Thriller",en,2011-09-22,6.3,highly;longtime;London;mouse—where,Killer Elite
"Adventure, Drama, Action",en,2005-12-12,6.8,coerces;giant;New;Skull,King Kong
"Action, Adventure, War",en,2007-03-07,7.2,army;Greece;Miller's;Battle,300
Drama,ja,2021-08-18,7.6,appointed;meets;still;festival,Drive My Car
