Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and Country
1861,3.0,Estratovolcán,,True,Dubbi(Eritrea)
1892,2.0,Caldera volcánica,True,,Tofua(Tonga)
1897,3.0,Estratovolcán,,,Mayon(Philippines)
1902,,Estratovolcán,True,,Pelee(Martinique)
1912,3.0,Volcán en escudo,,,"Nyamuragira(Congo, DRC)"
1919,1.0,Estratovolcán,,,Popocatepetl(Mexico)
1919,,Volcán submarino,True,,Banua Wuhu(Indonesia)
1923,2.0,,True,True,"Cendres, Ile des(Vietnam)"
1929,2.0,Estratovolcán,,,Etna(Italy)
1939,2.0,Estratovolcán,,,Tori-shima(Japan)
1940,2.0,Estratovolcán,,,Karangetang [Api Siau](Indonesia)
1947,2.0,,,,Asama(Japan)
1957,2.0,Estratovolcán,,,Oshima(Japan)
1979,2.0,Caldera volcánica,,,Aso(Japan)
1980,,Estratovolcán,,,Hood(United States)
1989,,Volcán en escudo,,,Kirishima(Japan)
1994,1.0,Caldera volcánica,,,Aso(Japan)
2001,3.0,Estratovolcán,,,Etna(Italy)
2011,2.0,Estratovolcán,,,Bulusan(Philippines)
2014,,Estratovolcán,,,Kelut(Indonesia)
920,4.0,Volcán subglaciar,,,Katla(Iceland)
1104,5.0,Estratovolcán,,,Hekla(Iceland)
1151,1.0,Filas de crateres,,,Krisuvik(Iceland)
1206,2.0,Estratovolcán,,,Hekla(Iceland)
1329,3.0,Estratovolcán,True,True,Etna(Italy)
1485,2.0,Caldera volcánica,,,Aso(Japan)
1550,3.0,,,,Dukono(Indonesia)
1576,3.0,Estratovolcán,,,Colima(Mexico)
1580,4.0,Volcán subglaciar,,,Katla(Iceland)
1598,2.0,,,,Asama(Japan)
1730,2.0,Fisura volcánica,,,Lanzarote(Spain)
1772,3.0,Estratovolcán,,,Papandayan(Indonesia)
1781,4.0,Estratovolcán,True,,Sakura-jima(Japan)
1826,2.0,Caldera volcánica,,,Aso(Japan)
1840,0.0,Volcán en escudo,True,,Kilauea(United States)
1840,3.0,Estratovolcán,,,Savo(Solomon Is.)
1850,2.0,Escudo piroclástico,,,Rabaul(Papua New Guinea)
1858,,Estratovolcán,,,Tate-yama(Japan)
1883,2.0,Volcán en escudo,,,Karthala(Comoros)
1887,3.0,Estratovolcán,,,Mayon(Philippines)
1890,2.0,Estratovolcán,,,Makian(Indonesia)
1902,4.0,Estratovolcán,True,,Pelee(Martinique)
1902,6.0,Estratovolcán,,,Santa Maria(Guatemala)
1936,3.0,,,,Asama(Japan)
1937,2.0,Estratovolcán,,,Llaima(Chile)
1943,3.0,Volcán en escudo,,,"Azul, Cerro(Ecuador)"
1951,4.0,Estratovolcán,,,Lamington(Papua New Guinea)
1970,,Caldera volcánica,,,Campi Flegrei(Italy)
1981,3.0,Estratovolcán,,,Semeru(Indonesia)
1983,1.0,,True,,Iliwerung(Indonesia)
1985,1.0,Estratovolcán,,,Etna(Italy)
1990,3.0,Estratovolcán,,,Sabancaya(Peru)
1990,,Estratovolcán,,,"Nyiragongo(Congo, DRC)"
1997,3.0,Estratovolcán,,,Semeru(Indonesia)
1999,3.0,Estratovolcán,True,,Soufriere Hills(Montserrat)
2000,2.0,Estratovolcán,,,Merapi(Indonesia)
-1860,6.0,Estratovolcán,,,St. Helens(United States)
230,6.0,Caldera volcánica,,,Taupo(New Zealand)
1169,,Estratovolcán,True,True,Etna(Italy)
1566,3.0,Volcán en escudo,,,Kirishima(Japan)
1597,4.0,Estratovolcán,,,Hekla(Iceland)
1640,3.0,Estratovolcán,,,Tungurahua(Ecuador)
1650,4.0,Volcán en escudo,True,,Santorini(Greece)
1660,4.0,Volcán subglaciar,,,Katla(Iceland)
1672,3.0,Estratovolcán,,,Merapi(Indonesia)
1679,,Volcán en escudo,,True,Zukur(Yemen)
1717,3.0,Volcán en escudo,,,Kirishima(Japan)
